011002,札幌市,さっぽろし,060-8611,札幌市中央区北1条西2丁目,011-211-2111
011011,札幌市中央区,さっぽろしちゅうおうく,060-8612,札幌市中央区南3条西11丁目330-2,011-231-2400
011029,札幌市北区,さっぽろしきたく,001-8612,札幌市北区北24条西6丁目1-1,011-757-2400
011037,札幌市東区,さっぽろしひがしく,065-8612,札幌市東区北11条東7丁目1-1,011-741-2400
011045,札幌市白石区,さっぽろししろいしく,003-8612,札幌市白石区南郷通1丁目南8-1,011-861-2400
011053,札幌市豊平区,さっぽろしとよひらく,062-8612,札幌市豊平区平岸6条10丁目1-1,011-822-2400
011061,札幌市南区,さっぽろしみなみく,005-8612,札幌市南区真駒内幸町2丁目2-1,011-582-2400
011070,札幌市西区,さっぽろしにしく,063-8612,札幌市西区琴似2条7丁目1-1,011-641-2400
011088,札幌市厚別区,さっぽろしあつべつく,004-8612,札幌市厚別区厚別中央1条5丁目3-2,011-895-2400
011096,札幌市手稲区,さっぽろしていねく,006-8612,札幌市手稲区前田1条11丁目1-10,011-681-2400
011100,札幌市清田区,さっぽろしきよたく,004-8613,札幌市清田区平岡1条1丁目2-1,011-889-2400
012025,函館市,はこだてし,040-8666,函館市東雲町4-13,0138-21-3111
012033,小樽市,おたるし,047-8660,小樽市花園2-12-1,0134-32-4111
012041,旭川市,あさひかわし,070-8525,旭川市6条通9丁目,0166-26-1111
012050,室蘭市,むろらんし,051-8511,室蘭市幸町1-2,0143-22-1111
012068,釧路市,くしろし,085-8505,釧路市黒金町7-5,0154-23-5151
012076,帯広市,おびひろし,080-8670,帯広市西5条南7-1,0155-24-4111
012084,北見市,きたみし,090-8509,北見市大通西2丁目1番地　まちきた大通ビル,0157-23-7111
012092,夕張市,ゆうばりし,068-0492,夕張市本町4-2,0123-52-3131
012106,岩見沢市,いわみざわし,068-8686,岩見沢市鳩が丘1-1-1,0126-23-4111
012114,網走市,あばしりし,093-8555,網走市南6条東4丁目,0152-44-6111
012122,留萌市,るもいし,077-8601,留萌市幸町1-11,0164-42-1801
012131,苫小牧市,とまこまいし,053-8722,苫小牧市旭町4-5-6,0144-32-6111
012149,稚内市,わっかないし,097-8686,稚内市中央3-13-15,0162-23-6161
012157,美唄市,びばいし,072-8660,美唄市西3条南1-1-1,0126-62-3131
012165,芦別市,あしべつし,075-8711,芦別市北1条東1-3,0124-22-2111
012173,江別市,えべつし,067-8674,江別市高砂町6,011-382-4141
012181,赤平市,あかびらし,079-1192,赤平市泉町4-1,0125-32-2211
012190,紋別市,もんべつし,094-8707,紋別市幸町2-1-18,0158-24-2111
012203,士別市,しべつし,095-8686,士別市東6条4-1,0165-23-3121
012211,名寄市,なよろし,096-8686,名寄市大通南1-1,01654-3-2111
012220,三笠市,みかさし,068-2192,三笠市幸町2,01267-2-3181
012238,根室市,ねむろし,087-8711,根室市常盤町2-27,0153-23-6111
012246,千歳市,ちとせし,066-8686,千歳市東雲町2-34,0123-24-3131
012254,滝川市,たきかわし,073-8686,滝川市大町1-2-15,0125-23-1234
012262,砂川市,すながわし,073-0195,砂川市西6条北3-1-1,0125-54-2121
012271,歌志内市,うたしないし,073-0492,歌志内市字本町5,0125-42-3211
012289,深川市,ふかがわし,074-8650,深川市2条17-17,0164-26-2228
012297,富良野市,ふらのし,076-8555,富良野市弥生町1-1,0167-39-2300
